Designator,Mid X,Mid Y,Layer,Rotation
R7,114.8711mm,142.6836mm,top,-90.0000
R8,112.3611mm,133.5036mm,top,90.0000
R9,112.3211mm,132.3136mm,top,90.0000
R10,114.8611mm,133.4536mm,top,90.0000
R11,114.9211mm,132.3036mm,top,90.0000
R12,145.6111mm,103.9336mm,top,0.0000
R13,143.6111mm,103.9336mm,top,0.0000
R14,150.2411mm,98.8336mm,top,-90.0000
R15,150.4611mm,99.9636mm,top,0.0000
R16,151.2811mm,101.2936mm,top,180.0000
R17,150.9811mm,102.1536mm,top,90.0000
R18,151.2111mm,102.9336mm,top,0.0000
R19,150.1211mm,104.1136mm,top,0.0000
R20,149.1111mm,104.1236mm,top,0.0000
R21,141.0311mm,97.8336mm,top,-90.0000
R22,140.2811mm,98.3136mm,top,-90.0000
R23,139.8411mm,99.2736mm,top,90.0000
R24,140.8211mm,100.9136mm,top,-90.0000
R25,139.8911mm,100.3636mm,top,-90.0000
R26,157.9711mm,103.8436mm,top,0.0000
R27,164.3711mm,98.4536mm,top,0.0000
R28,164.4011mm,99.6536mm,top,0.0000
R29,165.4211mm,99.6436mm,top,180.0000
R30,166.1311mm,100.4836mm,top,90.0000
R31,166.9711mm,100.7436mm,top,0.0000
R32,163.9611mm,104.1036mm,top,0.0000
R33,163.0411mm,104.1036mm,top,0.0000
R34,155.3211mm,96.7936mm,top,-90.0000
R35,155.4411mm,98.2936mm,top,-90.0000
R36,154.3411mm,98.8436mm,top,-90.0000
R37,155.3411mm,100.8436mm,top,-90.0000
R38,154.7411mm,100.3936mm,top,-90.0000
R39,161.7211mm,113.6236mm,top,0.0000
R40,157.9511mm,121.5336mm,top,-90.0000
R41,156.4711mm,121.5336mm,top,-90.0000
U1,145.6211mm,99.8836mm,top,180.0000
U2,144.4111mm,90.0036mm,top,-90.0000
U3,151.4111mm,90.6236mm,top,-90.0000
U4,144.4111mm,87.0036mm,top,180.0000
U5,151.4411mm,86.3236mm,top,180.0000
U6,159.9811mm,99.8836mm,top,180.0000
U7,158.7111mm,90.0036mm,top,-90.0000
U8,158.7011mm,87.0036mm,top,180.0000
U9,166.4111mm,89.3836mm,top,-135.0000
U10,168.5911mm,87.1636mm,top,135.0000
X4,121.5711mm,105.0536mm,top,0.0000
X5,132.6211mm,123.3836mm,top,90.0000
X6,132.3711mm,135.0336mm,top,90.0000
X10,103.3011mm,124.3036mm,top,-90.0000
X11,127.9011mm,151.2036mm,top,0.0000
X12,186.3011mm,150.9036mm,top,0.0000
X13,110.9011mm,59.8036mm,top,180.0000
X14,140.6011mm,59.7036mm,top,180.0000
X15,192.5011mm,70.5036mm,top,90.0000
