Designator,Mid X,Mid Y,Layer,Rotation
J1,31.15mm,17.12mm,Top,180
J2,45.42mm,17.12mm,Top,180
J3,59.69mm,17.12mm,Top,180
J4,73.97mm,17.12mm,Top,180
J5,88.24mm,17.12mm,Top,180
J6,102.51mm,17.12mm,Top,180
J7,116.78mm,17.12mm,Top,180
J8,131.05mm,17.12mm,Top,180
J9,145.33mm,17.12mm,Top,180
J10,159.60mm,17.12mm,Top,180
J11,173.87mm,17.12mm,Top,180
J12,188.14mm,17.12mm,Top,180
J13,202.41mm,17.12mm,Top,180
J14,216.69mm,17.12mm,Top,180
J15,230.96mm,17.12mm,Top,180
J16,245.23mm,17.12mm,Top,180
